Month,passengers
1975-03,55
1975-04,179
1975-05,162
1975-06,170
1975-07,126
1975-08,98
1975-09,183
1975-10,221
1975-11,200
1975-12,86
1976-01,177
1976-02,75
1976-04,208
1976-05,111
1976-06,191
1976-07,81
1976-08,150
1976-09,207
1976-10,209
1976-11,115
1976-12,186
1977-01,221
1977-02,246
1977-03,196
1977-04,136
1977-05,67
1977-06,193
1977-07,168
1977-08,167
1977-09,211
1977-10,206
1977-11,174
1978-01,151
1978-02,115
1978-03,222
1978-04,207
1978-05,86
1978-06,121
1978-07,145
1978-08,57
1978-09,50
1978-10,182
1978-11,82
1978-12,227
1979-01,83
1979-02,173
1979-03,240
1979-04,60
1979-05,151
1979-06,161
1979-07,106
1979-09,162
1979-10,159
1979-11,99
1979-12,214
1980-01,70
1980-02,149
1980-03,90
1980-04,159
1980-05,119
1980-06,234
1980-07,205
1980-08,186
1980-09,92
1980-10,160
1980-11,167
1980-12,197
1981-01,170
1981-02,218
1981-03,249
1981-05,159
1981-06,55
1981-07,91
1981-08,115
1981-09,244
1981-10,149
1981-11,92
1981-12,237
1982-01,61
1982-02,134
1982-03,173
1982-04,234
1982-05,179
1982-06,159
1982-07,86
1982-08,53
1982-09,144
1982-10,165
1982-11,83
1982-12,245
1983-01,204
1983-03,164
1983-04,215
1983-05,230
1983-06,92
1983-07,209
1983-08,104
1983-09,172
1983-10,164
1983-11,174
1983-12,224
1984-01,208
1984-02,245
1984-03,230
1984-04,60
1984-05,117
1984-06,247
1984-07,136
1984-08,121
1984-09,57
1984-11,58
1984-12,200
1985-01,160
1985-02,129
1985-03,76
1985-04,201
1985-05,140
1985-06,157
1985-07,117
1985-08,110
1985-09,124
1985-10,92
1985-11,179
1985-12,212
1986-01,55
1986-02,234
1986-03,51
1986-04,233
1986-05,203
1986-07,156
1986-08,157
1986-09,120
1986-10,55
1986-11,219
1986-12,134
1987-01,167
1987-02,73
1987-03,218
1987-04,158
1987-05,169
1987-06,185
1987-07,188
1987-08,96
1987-09,248
1987-10,77
1987-11,149
1987-12,179
1988-01,170
1988-03,103
1988-04,229
1988-05,239
1988-06,212
1988-07,138
1988-08,125
1988-09,203
1988-10,116
1988-11,101
1988-12,245
1989-01,189
1989-02,62
1989-03,159
1989-04,143
1989-05,76
1989-06,246
1989-07,113
1989-08,57
1989-09,78
1989-10,246
1989-12,140
1990-01,232
1990-02,65
1990-03,195
1990-04,102
1990-05,149
1990-06,113
1990-07,231
1990-08,206
1990-09,101
1990-10,208
1990-11,244
1990-12,132
1991-01,232
1991-02,154
1991-03,200
1991-04,120
1991-05,169
1991-06,197
1991-08,179
1991-09,51
1991-10,193
1991-11,131
1991-12,176
1992-01,106
1992-02,137
1992-03,132
1992-04,95
1992-05,239
1992-06,57
1992-07,240
1992-08,250
1992-09,118
1992-10,61
1992-11,94
1992-12,240
1993-01,50
1993-02,237
1993-03,104
1993-05,57
1993-06,53
1993-07,102
1993-08,237
1993-09,157
1993-10,50
1993-11,189
1993-12,50
1994-01,137
1994-02,117
1994-03,105
1994-04,111
1994-05,152
1994-06,103
1994-07,185
1994-08,218
1994-09,124
1994-10,133
1994-11,120
1994-12,237
1995-02,241
1995-03,214
1995-04,195
1995-05,123
1995-06,192
1995-07,142
1995-08,140
1995-09,68
1995-10,121
1995-11,225
1995-12,139
1996-01,105
1996-02,71
1996-03,108
1996-04,71
1996-05,136
1996-06,199
1996-07,244
1996-08,134
1996-10,217
1996-11,80
1996-12,84
1997-01,133
1997-02,193
1997-03,159
1997-04,227
1997-05,233
1997-06,63
1997-07,154
1997-08,180
1997-09,81
1997-10,238
1997-11,100
1997-12,212
1998-01,155
1998-02,134
1998-03,204
1998-04,114
1998-06,108
1998-07,180
1998-08,210
1998-09,245
1998-10,80
1998-11,191
1998-12,107
1999-01,219
1999-02,84
1999-03,218
1999-04,125
1999-05,131
1999-06,93
1999-07,166
1999-08,128
1999-09,196
1999-10,183
1999-11,148
1999-12,195
2000-01,236
2000-03,60
2000-04,201
2000-05,97
2000-06,75
2000-07,139
2000-08,104
2000-09,183
2000-10,154
2000-11,154
2000-12,52
2001-01,170
2001-02,146
2001-03,73
2001-04,235
2001-05,90
2001-06,166
2001-07,149
2001-08,131
2001-09,147
2001-10,193
2001-12,103
2002-01,76
2002-02,199
2002-03,164
2002-04,147
2002-05,79
2002-06,199
2002-07,245
2002-08,249
2002-09,151
2002-10,117
2002-11,135
2002-12,61
2003-01,119
2003-02,72
2003-03,206
2003-04,250
2003-05,52
2003-07,105
2003-08,219
2003-09,200
2003-10,199
2003-11,119
2003-12,164
2004-01,191
2004-02,50
2004-03,105
2004-04,92
2004-05,141
2004-06,175
2004-07,248
2004-08,132
2004-09,104
2004-10,70
2004-11,64
2004-12,111
2005-01,134
2005-02,66
2005-04,153
2005-05,120
2005-06,146
2005-07,247
2005-08,110
2005-09,81
2005-10,100
2005-11,120
2005-12,201
2006-01,232
2006-02,77
2006-03,86
2006-04,62
2006-05,139
2006-06,241
2006-07,55
2006-08,154
2006-09,179
2006-10,172
2006-11,227
2007-01,114
2007-02,169
2007-03,221
2007-04,171
2007-05,96
2007-06,207
2007-07,216
2007-08,117
2007-09,137
2007-10,196
2007-11,176
2007-12,167
2008-01,245
2008-02,66
2008-03,91
2008-04,208
2008-05,76
2008-06,229
2008-07,162
2008-08,225
2008-10,191
2008-11,130
2008-12,204
2009-01,132
2009-02,130
2009-03,114
2009-04,64
2009-05,105
2009-06,220
2009-07,238
2009-08,163
2009-09,67
2009-10,221
2009-11,246
2009-12,86
2010-01,66
2010-02,67
2010-03,100
2010-05,226
2010-06,54
2010-07,164
2010-08,169
2010-09,69
2010-10,125
2010-11,88
2010-12,222
2011-01,89
2011-02,67
2011-03,195
2011-04,190
2011-05,166
2011-06,154
2011-07,163
2011-08,226
2011-09,208
2011-10,98
2011-11,131
2011-12,97
2012-01,237
2012-03,218
2012-04,208
2012-05,223
2012-06,173
2012-07,214
2012-08,221
2012-09,127
2012-10,129
2012-11,244
2012-12,67
2013-01,195
2013-02,66
2013-03,121
2013-04,236
2013-05,54
2013-06,214
2013-07,189
2013-08,235
2013-09,165
2013-11,203
2013-12,88
2014-01,132
2014-02,151
2014-03,104
2014-04,222
2014-05,75
2014-06,213
2014-07,82
2014-08,141
2014-09,71
2014-10,123
2014-11,198
2014-12,186
2015-01,155
2015-02,200
2015-03,175
2015-04,140
2015-05,188
2015-07,170
2015-08,110
2015-09,84
2015-10,165
2015-11,97
2015-12,141
2016-01,94
2016-02,239
2016-03,160
2016-04,167
2016-05,222
2016-06,242
2016-07,250
2016-08,117
2016-09,112
2016-10,194
2016-11,193
2016-12,227
2017-01,248
2017-03,157
2017-04,197
2017-05,74
2017-06,96
2017-07,111
2017-08,154
2017-09,210
2017-10,182
2017-11,56
2017-12,247
2018-01,79
2018-02,174
2018-03,220
2018-04,229
2018-05,120
2018-06,236
2018-07,58
2018-08,176
2018-09,69
2018-10,124
2018-12,120
2019-01,97
2019-02,106
2019-03,144
2019-04,240
2019-05,236
2019-06,230
2019-07,86
2019-08,186
2019-09,162
2019-10,250
2019-11,71
2019-12,153
2020-01,115
2020-02,163
2020-03,128
2020-04,250
2020-05,178
2020-06,71
2020-07,194
2020-09,50
2020-10,133
2020-11,236
2020-12,105
2021-01,137
2021-02,93
2021-03,181
2021-04,141
2021-05,215
2021-06,186
2021-07,113
2021-08,241
2021-09,120
2021-10,137
2021-11,156
2021-12,146
2022-01,214
2022-02,66
2022-03,128
2022-05,99
2022-06,133
2022-07,90
2022-08,105
2022-09,123
2022-10,197
2022-11,99
2022-12,139
2023-01,196
2023-02,138
2023-03,119
2023-04,106
2023-05,176
2023-06,197
2023-07,235
2023-08,183
2023-09,245
2023-10,207
2023-11,106
2023-12,105
2024-02,149
2024-03,212
2024-04,202
2024-05,148
2024-06,137
2024-07,63
2024-08,135
2024-09,172
2024-10,170
2024-11,167
2024-12,110
2025-01,213
2025-02,77
2025-03,110
2025-04,203
2025-05,62
2025-06,237
2025-07,124
2025-08,111
2025-10,222
2025-11,186
2025-12,142
2026-01,75
2026-02,243
2026-03,228
2026-04,206
2026-05,155
2026-06,111
2026-07,247
2026-08,207
2026-09,178
2026-10,209
2026-11,246
2026-12,220
2027-01,143
2027-02,228
2027-03,85
2027-04,114
2027-06,211
2027-07,156
2027-08,134
2027-09,162
2027-10,142
2027-11,175
2027-12,97
2028-01,178
2028-02,234
2028-03,65
2028-04,87
2028-05,133
2028-06,147
2028-07,63
2028-08,172
2028-09,93
2028-10,135
2028-11,184
2028-12,187
2029-01,211
2029-03,64
2029-04,55
2029-05,197
2029-06,192
2029-07,152
2029-08,164
2029-09,81
2029-10,82
2029-11,128
2029-12,52
2030-01,107
2030-02,249
2030-03,180
2030-04,63
2030-05,151
2030-06,116
2030-07,198
2030-08,83
2030-09,195
2030-10,193
2030-12,118
2031-01,226
2031-02,74
2031-03,87
2031-04,225
2031-05,193
2031-06,74
2031-07,231
2031-08,129
2031-09,211
2031-10,124
2031-11,195
2031-12,146
2032-01,207
2032-02,111
2032-03,126
2032-04,175
2032-05,218
2032-06,185
2032-08,160
2032-09,238
2032-10,184
2032-11,218
2032-12,195
2033-01,194
2033-02,165
2033-03,157
2033-04,55
2033-05,103
2033-06,139
2033-07,226
2033-08,215
2033-09,55
2033-10,84
2033-11,100
2033-12,50
2034-01,94
2034-02,221
2034-04,167
2034-05,245
2034-06,234
2034-07,71
2034-08,188
2034-09,164
2034-10,198
2034-11,178
2034-12,218
2035-01,228
2035-02,154
2035-03,241
2035-04,182
2035-05,239
2035-06,205
2035-07,184
2035-08,210
2035-09,170
2035-10,69
2035-11,161
2036-01,91
2036-02,188
2036-03,123
2036-04,114
2036-05,94
2036-06,172
2036-07,110
2036-08,61
2036-09,54
2036-10,115
2036-11,202
2036-12,112
2037-01,50
2037-02,136
2037-03,193
2037-04,109
2037-05,80
2037-06,176
2037-07,184
2037-08,123
2037-10,212
2037-11,215
2037-12,151
2038-01,75
2038-02,134
2038-03,225
2038-04,205
2038-05,178
2038-06,230
2038-07,93
2038-08,102
2038-09,211
2038-10,53
2038-11,139
2038-12,119
2039-01,57
2039-02,231
2039-03,143
2039-05,154
2039-06,190
2039-07,242
2039-08,203
2039-09,90
2039-10,55
2039-11,169
2039-12,79
2040-01,114
2040-02,250
2040-03,205
2040-04,241
2040-05,114
2040-06,166
2040-07,82
2040-08,185
2040-09,206
2040-10,102
2040-11,219
2040-12,130
2041-01,92
2041-03,197
2041-04,171
2041-05,54
2041-06,74
2041-07,219
2041-08,68
2041-09,58
2041-10,107
2041-11,170
2041-12,149
2042-01,181
2042-02,132
2042-03,51
2042-04,110
2042-05,143
2042-06,94
2042-07,225
2042-08,129
2042-09,93
2042-11,88
2042-12,208
2043-01,93
2043-02,240
2043-03,244
2043-04,77
2043-05,150
2043-06,80
2043-07,188
2043-08,103
2043-09,119
2043-10,79
2043-11,213
2043-12,70
2044-01,125
2044-02,50
2044-03,125
2044-04,151
2044-05,156
2044-07,51
2044-08,57
2044-09,158
2044-10,52
2044-11,169
2044-12,204
2045-01,137
2045-02,161
2045-03,139
2045-04,172
2045-05,211
2045-06,177
2045-07,205
2045-08,141
2045-09,122
2045-10,119
2045-11,186
2045-12,147
2046-01,72
2046-03,55
2046-04,158
2046-05,67
2046-06,186
2046-07,209
2046-08,80
2046-09,224
2046-10,96
2046-11,116
2046-12,69
2047-01,236
2047-02,148
2047-03,149
2047-04,78
2047-05,179
2047-06,145
2047-07,216
2047-08,221
2047-09,227
2047-10,181
2047-12,155
2048-01,71
2048-02,114
2048-03,222
2048-04,222
2048-05,61
2048-06,92
2048-07,163
2048-08,186
2048-09,93
2048-10,114
2048-11,214
2048-12,117
2049-01,238
2049-02,198
2049-03,158
2049-04,132
2049-05,130
2049-06,67
2049-07,101
2049-09,170
2049-10,161
2049-11,170
2049-12,173
2050-01,148
2050-02,207
2050-03,101
2050-04,50
2050-05,214
2050-06,232
2050-07,143
2050-08,175
2050-09,153
2050-10,77
2050-11,174
2050-12,53
2051-01,129
2051-02,104
2051-03,79
2051-05,166
2051-06,164
2051-07,145
2051-08,190
2051-09,95
2051-10,138
2051-11,206
2051-12,189
2052-01,74
2052-02,127
2052-03,119
2052-04,53
2052-05,203
2052-06,192
2052-07,131
2052-08,63
2052-09,233
2052-10,120
2052-11,248
2052-12,167
2053-01,81
2053-03,183
2053-04,212
2053-05,206
2053-06,83
2053-07,154
2053-08,57
2053-09,156
2053-10,116
2053-11,131
2053-12,203
2054-01,145
2054-02,177
2054-03,191
2054-04,141
2054-05,82
2054-06,219
2054-07,200
2054-08,148
2054-10,166
2054-11,76
2054-12,117
2055-01,119
2055-02,117
2055-03,70
2055-04,231
2055-05,136
2055-06,215
2055-07,161
2055-08,91
2055-09,104
2055-10,137
2055-11,192
2055-12,153
2056-01,162
2056-02,206
2056-03,128
2056-04,192
2056-05,119
2056-07,105
2056-08,68
2056-09,136
2056-10,151
2056-11,215
2056-12,80
2057-01,144
2057-02,188
2057-03,132
2057-04,165
2057-05,82
2057-06,151
2057-07,77
2057-08,206
2057-09,153
2057-10,221
2057-11,209
2057-12,182
2058-01,132
2058-03,117
2058-04,119
2058-05,103
2058-06,124
2058-07,175
2058-08,84
2058-09,187
2058-10,167
2058-11,151
2058-12,76
2059-01,201
2059-02,151
2059-03,50
2059-04,102
2059-05,138
2059-06,197
2059-07,85
2059-08,88
2059-09,141
2059-10,196
2059-12,54
2060-01,247
2060-02,135
2060-03,78
2060-04,149
2060-05,132
2060-06,215
2060-07,110
2060-08,119
2060-09,66
2060-10,231
2060-11,81
2060-12,79
2061-01,136
2061-02,83
2061-03,178
2061-04,83
2061-05,209
2061-06,161
2061-08,119
2061-09,135
2061-10,243
2061-11,50
2061-12,232
2062-01,73
2062-02,177
2062-03,78
2062-04,119
2062-05,192
2062-06,157
2062-07,69
2062-08,211
2062-09,120
2062-10,67
2062-11,103
2062-12,228
2063-01,96
2063-02,122
2063-04,200
2063-05,181
2063-06,94
2063-07,118
2063-08,249
2063-09,131
2063-10,78
2063-11,193
2063-12,111
2064-01,66
2064-02,182
2064-03,197
2064-04,59
2064-05,208
2064-06,88
2064-07,215
2064-08,150
2064-09,151
2064-10,98
2064-11,202
2064-12,200
2065-02,243
2065-03,191
2065-04,187
2065-05,66
2065-06,249
2065-07,101
2065-08,146
2065-09,220
2065-10,132
2065-11,161
2065-12,163
2066-01,167
2066-02,237
2066-03,202
2066-04,102
2066-05,184
2066-06,158
2066-07,59
2066-08,245
2066-10,195
2066-11,77
2066-12,53
2067-01,229
2067-02,187
2067-03,195
2067-04,108
2067-05,191
2067-06,64
2067-07,100
2067-08,130
2067-09,97
2067-10,243
2067-11,215
2067-12,144
2068-01,160
2068-02,207
2068-03,117
2068-04,89
2068-06,132
2068-07,126
2068-08,105
2068-09,53
2068-10,113
2068-11,216
2068-12,205
2069-01,183
2069-02,217
2069-03,184
2069-04,237
2069-05,170
2069-06,95
2069-07,74
2069-08,60
2069-09,87
2069-10,219
2069-11,173
2069-12,240
2070-01,118
2070-03,181
2070-04,239
2070-05,171
2070-06,118
2070-07,107
2070-08,54
2070-09,57
2070-10,249
2070-11,219
2070-12,92
2071-01,220
2071-02,67
2071-03,105
2071-04,168
2071-05,212
2071-06,84
2071-07,153
2071-08,220
2071-09,171
2071-11,107
2071-12,106
2072-01,210
2072-02,194
2072-03,125
2072-04,132
2072-05,118
2072-06,224
2072-07,84
2072-08,62
2072-09,157
2072-10,175
2072-11,62
2072-12,88
2073-01,56
2073-02,66
2073-03,89
2073-04,108
2073-05,201
2073-07,109
2073-08,220
2073-09,229
2073-10,104
2073-11,189
2073-12,177
2074-01,199
2074-02,122
2074-03,238
2074-04,137
2074-05,74
2074-06,56
2074-07,117
2074-08,198
2074-09,54
2074-10,96
2074-11,132
2074-12,101
2075-01,199
2075-03,222
2075-04,61
2075-05,92
2075-06,104
2075-07,54
2075-08,99
2075-09,184
2075-10,131
2075-11,178
2075-12,142
2076-01,154
2076-02,130
2076-03,179
2076-04,244
2076-05,132
2076-06,202
2076-07,65
2076-08,108
2076-09,153
2076-10,161
2076-11,119
2077-01,235
2077-02,69
2077-03,219
2077-04,233
2077-05,101
2077-06,213
2077-07,175
2077-08,64
2077-09,165
2077-10,232
2077-11,72
2077-12,237
2078-01,170
2078-02,96
2078-03,54
2078-04,142
2078-05,76
2078-06,94
2078-07,145
2078-09,210
2078-10,150
2078-11,160
2078-12,190
2079-01,92
2079-02,181
2079-03,213
2079-04,197
2079-05,221
2079-06,136
2079-07,101
2079-08,156
2079-09,94
2079-10,87
2079-11,243
2079-12,218
2080-01,131
2080-02,137
2080-03,222
2080-05,193
2080-06,196
2080-07,98
2080-08,85
2080-09,198
2080-10,222
2080-11,247
2080-12,179
2081-01,196
2081-02,161
2081-03,110
2081-04,156
2081-05,216
2081-06,97
2081-07,228
2081-08,74
2081-09,106
2081-10,194
2081-11,145
2081-12,176
2082-01,211
2082-03,140
2082-04,130
2082-05,162
2082-06,219
2082-07,56
2082-08,77
2082-09,112
2082-10,99
2082-11,202
2082-12,65
2083-01,131
2083-02,51
2083-03,57
2083-04,97
2083-05,98
2083-06,76
2083-07,117
2083-08,177
2083-10,83
2083-11,97
2083-12,229
2084-01,215
2084-02,77
2084-03,81
2084-04,219
2084-05,162
2084-06,122
2084-07,133
2084-08,182
2084-09,143
2084-10,161
2084-11,62
2084-12,244
2085-01,179
2085-02,170
2085-03,83
2085-04,184
2085-05,79
2085-07,98
2085-08,92
2085-09,127
2085-10,76
2085-11,120
2085-12,97
2086-01,195
2086-02,158
2086-03,104
2086-04,54
2086-05,103
2086-06,230
2086-07,223
2086-08,248
2086-09,74
2086-10,220
2086-11,139
2086-12,114
2087-01,240
2087-03,118
2087-04,128
2087-05,62
2087-06,151
2087-07,117
2087-08,240
2087-09,95
2087-10,120
2087-11,240
2087-12,242
2088-01,218
2088-02,136
2088-03,242
2088-04,224
2088-05,234
2088-06,114
2088-07,54
2088-08,88
2088-09,191
2088-10,105
2088-12,142
2089-01,225
2089-02,77
2089-03,156
2089-04,155
2089-05,247
2089-06,237
2089-07,190
2089-08,174
2089-09,156
2089-10,184
2089-11,77
2089-12,149
2090-01,222
2090-02,97
2090-03,207
2090-04,73
2090-05,152
2090-06,72
2090-08,142
2090-09,61
2090-10,169
2090-11,113
2090-12,150
2091-01,109
2091-02,114
2091-03,222
2091-04,99
2091-05,59
2091-06,228
2091-07,72
2091-08,91
2091-09,226
2091-10,128
2091-11,80
2091-12,250
2092-01,172
2092-02,168
2092-03,124
2092-05,111
2092-06,117
2092-07,213
2092-08,188
2092-09,69
2092-10,161
2092-11,67
2092-12,230
2093-01,177
2093-02,72
2093-03,172
2093-04,168
2093-05,78
2093-06,209
2093-07,149
2093-08,76
2093-09,219
2093-10,210
2093-11,202
2093-12,220
2094-02,103
2094-03,163
2094-04,104
2094-05,233
2094-06,102
2094-07,237
2094-08,238
2094-09,235
2094-10,201
2094-11,99
2094-12,230
2095-01,209
2095-02,85
2095-03,130
2095-04,145
2095-05,250
2095-06,171
2095-07,127
2095-08,88
2095-10,151
2095-11,56
2095-12,131
2096-01,160
2096-02,241
2096-03,164
2096-04,151
2096-05,187
2096-06,86
2096-07,68
2096-08,230
2096-09,105
2096-10,51
2096-11,180
2096-12,50
2097-01,249
2097-02,102
2097-03,168
2097-04,181
2097-06,184
2097-07,126
2097-08,91
2097-09,191
2097-10,186
2097-11,87
2097-12,170
2098-01,223
2098-02,150
2098-03,123
2098-04,236
2098-05,230
2098-06,229
2098-07,224
2098-08,139
2098-09,159
2098-10,216
2098-11,239
2098-12,149
2099-01,234
2099-03,188
2099-04,200
2099-05,99
2099-06,245
2099-07,97
2099-08,162
2099-09,146
2099-10,122
2099-11,194
2099-12,239
2100-01,126
2100-02,105
2100-03,152
2100-04,165
2100-05,98
2100-06,65
2100-07,83
2100-08,177
2100-09,97
2100-11,184
2100-12,161
2101-01,238
2101-02,52
2101-03,150
2101-04,155
2101-05,173
2101-06,119
2101-07,147
2101-08,229
2101-09,122
2101-10,166
2101-11,240
2101-12,132
2102-01,82
2102-02,241
2102-03,161
2102-04,170
2102-05,117
2102-07,109
2102-08,237
2102-09,202
2102-10,138
2102-11,178
2102-12,123
2103-01,119
2103-02,101
2103-03,116
2103-04,133
2103-05,169
2103-06,104
2103-07,128
2103-08,139
2103-09,117
2103-10,239
2103-11,149
2103-12,127
2104-01,67
2104-03,90
2104-04,132
2104-05,168
2104-06,172
2104-07,244
2104-08,107
2104-09,235
2104-10,155
2104-11,157
2104-12,196
2105-01,91
2105-02,96
2105-03,94
2105-04,169
2105-05,149
2105-06,129
2105-07,222
2105-08,120
2105-09,221
2105-10,169
2105-12,242
2106-01,191
2106-02,160
2106-03,143
2106-04,118
2106-05,57
2106-06,213
2106-07,89
2106-08,196
2106-09,248
2106-10,200
2106-11,188
2106-12,125
2107-01,240
2107-02,207
2107-03,204
2107-04,135
2107-05,99
2107-06,156
2107-08,96
2107-09,152
2107-10,138
2107-11,122
2107-12,165
2108-01,165
2108-02,207
2108-03,53
2108-04,78
2108-05,83
2108-06,206
2108-07,211
2108-08,134
2108-09,120
2108-10,110
2108-11,157
2108-12,142
2109-01,160
2109-02,118
2109-03,119
2109-05,63
2109-06,82
2109-07,187
2109-08,157
2109-09,77
2109-10,110
2109-11,173
2109-12,220
2110-01,204
2110-02,196
2110-03,79
2110-04,108
2110-05,161
2110-06,171
2110-07,120
2110-08,207
2110-09,227
2110-10,234
2110-11,144
2110-12,114
2111-02,84
2111-03,121
2111-04,178
2111-05,127
2111-06,230
2111-07,103
2111-08,74
2111-09,200
2111-10,68
2111-11,100
2111-12,68
2112-01,142
2112-02,56
2112-03,68
2112-04,157
2112-05,121
2112-06,72
2112-07,130
2112-08,180
2112-10,161
2112-11,241
2112-12,94
2113-01,116
2113-02,104
2113-03,191
2113-04,162
2113-05,217
2113-06,191
2113-07,224
2113-08,169
2113-09,118
2113-10,243
2113-11,84
2113-12,107
2114-01,161
2114-02,84
2114-03,117
2114-04,245
2114-06,227
2114-07,138
2114-08,146
2114-09,104
2114-10,164
2114-11,137
2114-12,198
2115-01,104
2115-02,57
2115-03,225
2115-04,55
2115-05,213
2115-06,127
2115-07,64
2115-08,153
2115-09,229
2115-10,138
2115-11,214
2115-12,156
2116-01,193
2116-03,246
2116-04,82
2116-05,222
2116-06,141
2116-07,169
2116-08,247
2116-09,185
2116-10,211
2116-11,195
2116-12,131
2117-01,191
2117-02,98
2117-03,155
2117-04,219
2117-05,235
2117-06,228
2117-07,225
2117-08,234
2117-09,99
2117-10,178
2117-12,183
2118-01,114
2118-02,98
2118-03,196
2118-04,237
2118-05,92
2118-06,125
2118-07,153
2118-08,125
2118-09,125
2118-10,135
2118-11,163
2118-12,248
2119-01,96
2119-02,106
2119-03,118
2119-04,132
2119-05,215
2119-07,125
2119-08,178
2119-09,150
2119-10,132
2119-11,224
2119-12,120
2120-01,74
2120-02,176
2120-03,168
2120-04,147
2120-05,212
2120-06,64
2120-07,136
2120-08,130
2120-09,172
2120-10,75
2120-11,50
2120-12,249
2121-01,201
2121-02,87
2121-04,157
2121-05,99
2121-06,56
2121-07,234
2121-08,117
2121-09,106
2121-10,163
2121-11,181
2121-12,90
2122-01,70
2122-02,129
2122-03,159
2122-04,103
2122-05,198
2122-06,211
2122-07,123
2122-08,122
2122-09,185
2122-10,168
2122-11,132
2123-01,183
2123-02,219
2123-03,58
2123-04,247
2123-05,123
2123-06,221
2123-07,212
2123-08,234
2123-09,123
2123-10,175
2123-11,205
2123-12,95
